price,emirate,number,character
195000,abu-dhabi,7997,5
195000,dubai,1968,z
195000,dubai,932,d
194900,dubai,986,f
190000,dubai,4555,g
190000,dubai,91116,e
190000,ajman,37773,e
190000,dubai,33332,b
189900,dubai,869,d
189500,abu-dhabi,5050,17
189500,dubai,562,l
189000,dubai,1988,e
189000,dubai,44440,y
189000,dubai,1114,n
189000,dubai,61111,m
189000,fujairah,75,b
189000,dubai,425,n
189000,fujairah,67,m
189000,umm-al-quwain,33,d
188000,abu-dhabi,1818,20
188000,dubai,8866,m
185000,dubai,1969,i
185000,dubai,5111,p
185000,abu-dhabi,9900,18
185000,abu-dhabi,1155,16
185000,abu-dhabi,2525,2
185000,abu-dhabi,99996,20
185000,dubai,4111,r
185000,abu-dhabi,9989,2
185000,dubai,8008,m
185000,abu-dhabi,31111,2
185000,abu-dhabi,22262,2
184900,dubai,342,p
182000,abu-dhabi,1717,16
180000,dubai,6999,k
180000,abu-dhabi,12333,50
180000,abu-dhabi,9119,16
180000,abu-dhabi,2009,5
180000,fujairah,56789,i
180000,dubai,1311,e
179500,dubai,938,e
179000,abu-dhabi,9898,2
179000,dubai,962,d
179000,dubai,55000,w
179000,dubai,87777,r
179000,dubai,40404,v
179000,abu-dhabi,8882,20
179000,dubai,7770,y
179000,dubai,69999,l
178000,abu-dhabi,2777,2
178000,ras-al-khaimah,867,s
177000,abu-dhabi,5511,2
177000,dubai,785,f
176000,dubai,861,l
176000,dubai,968,t
176000,dubai,498,k
175000,dubai,645,f
175000,dubai,90999,w
175000,abu-dhabi,6663,5
175000,abu-dhabi,11112,50
175000,abu-dhabi,88000,19
175000,abu-dhabi,1515,12
175000,abu-dhabi,1131,2
175000,abu-dhabi,11113,6
175000,abu-dhabi,8881,18
175000,dubai,7500,d
175000,abu-dhabi,1777,50
175000,sharjah,77737,3
175000,dubai,2626,m
175000,abu-dhabi,11119,19
175000,abu-dhabi,86668,1
175000,dubai,50803,d
175000,dubai,6111,h
175000,dubai,5505,r
173000,abu-dhabi,2999,19
171000,abu-dhabi,71717,17
170000,ajman,975,a
170000,abu-dhabi,6996,18
170000,dubai,6622,d
170000,dubai,67777,e
170000,abu-dhabi,6363,5
170000,dubai,2001,t
170000,abu-dhabi,8868,1
170000,abu-dhabi,3456,50
170000,abu-dhabi,1020,18
170000,abu-dhabi,1100,13
169500,abu-dhabi,3388,2
169500,abu-dhabi,99994,11
169000,abu-dhabi,1881,17
