Actual Price,Predicted Price
17000,5642.912
49900,48320.312
4900,5203.2188
8000,6708.8213
5000,3624.2522
149000,213589.67
7900,13810.774
539000,587639.7
17500,31356.764
55000,73240.04
4200,2911.2068
350000,323104.22
35000,31718.715
15000,16749.625
12000,15994.6455
22000,23853.604
33000,34452.965
12500,5864.8105
16500,17216.781
2900,6679.307
6900,7232.6274
3900,3589.616
14900,14287.421
6500,6256.7793
5500,2479.8264
4500,10833.791
6500,3543.3916
18500,16306.184
25000,20743.607
7500,9792.27
16000,19679.607
53000,53142.492
30000,25360.154
4900,4322.518
24500,23140.512
6900,19725.63
20000,28434.912
18500,26367.26
4900,4635.5264
195000,186576.14
22500,23005.125
120000,153693.73
21000,27093.928
35000,23918.139
85000,90178.58
399000,231734.08
35000,31723.123
8000,6842.9624
7900,7599.315
20000,19506.139
55500,52782.88
3000,4992.2456
3500,4113.1
18000,12394.798
34900,34509.0
2200,5717.2866
12500,9596.917
3500,4053.8708
5500,4934.111
5500,5535.798
43500,78393.695
19900,23722.123
4900,4218.792
81000,62745.418
2500,9159.465
9000,9792.169
78000,81109.44
21000,23938.123
20000,19663.457
3250,1907.8671
21000,15555.339
3999,5413.6836
35000,37224.37
360000,337117.5
15900,8945.212
4900,4297.209
25000,16934.537
3500,3845.658
4800,8688.741
6500,9684.821
95733,6419.414
3000,10122.072
35000,78675.03
2800,4047.6208
10000,11012.401
25500,210702.34
22500,11737.968
33000,33132.773
7500,7242.316
9800,9448.789
36900,36818.09
55000,87660.375
14900,12888.054
4900,4951.9346
18500,27708.072
16900,18319.316
100000,16723.002
26900,30948.012
19900,23325.975
4300,3915.724
13900,19375.758
17500,18293.355
11500,11617.112
96000,102205.055
8500,10031.54
3900,17257.85
9500,9321.84
20000,20097.137
39000,48379.355
495000,472279.22
3200,2629.325
145500,131105.3
535000,750493.0
5900,11790.238
4400,1149.8912
22000,36123.82
2200000,3887834.8
16900,45257.348
4900,4879.454
49900,49965.18
12000,8641.175
1990000,3748378.0
12000,13258.577
380000,390501.16
749000,593986.6
4900,9649.171
2800,2510.536
35000,26109.584
29900,24735.174
10900,9854.391
26500,16844.281
19000,23348.404
8900,4870.613
4900,4783.4253
8000,7904.675
7500,8117.904
7200,6534.544
119000,142944.86
45000,42480.715
650000,852444.8
735000,693207.94
4000,6218.414
15000,7963.927
4900,4350.787
7000,5143.9907
26500,24502.145
19000,33016.887
7500,6499.187
7900,7804.686
5500,6134.12
9000,6899.5435
28000,29417.947
325000,319431.8
25500,14074.095
21000,33493.195
4300,6024.498
5500,5217.2554
55000,48414.293
38000,29573.11
7900,7355.96
3500,3557.8022
5500,4904.33
3500,5230.9097
289000,281288.53
8000,7783.4673
4900,4915.9824
79000,60163.97
315000,317101.53
560000,556787.44
3500,14731.749
24500,25039.809
2700,2629.869
5000,8855.051
35000,27097.467
13999,19205.662
16900,17347.816
275000,408397.7
735000,696781.25
7500,60415.715
18900,18900.057
13000,12740.684
19900,17207.967
32000,48244.3
3500,7885.2896
33000,34838.02
899000,899229.3
15000,21581.336
389000,447104.6
15400,16317.83
15000,20000.135
189000,173375.08
4900,4813.1226
2999,3674.8406
18500,89661.26
135000,26232.877
55000,98794.086
75000,68600.016
25000,23909.852
9900,8125.7446
3900,5195.9395
4900,4741.162
4999,5636.517
28900,35301.375
420000,434167.03
3300,4552.714
15500,15092.412
17000,15748.918
1295000,1409520.4
10000,9484.204
4200,8384.297
33000,31628.717
25000,25639.408
29900,24771.38
3200,3520.0452
14000,21450.436
15999,12130.7
29000,30067.13
2500,2993.242
7900,3215.3052
5900,7734.3394
25000,17791.043
3900,10843.043
19900,19162.146
3900,7438.3525
735000,675276.7
16900,17996.473
5500,8341.3
67000,68427.4
2200000,2201042.5
15000,14327.522
950000,758081.56
4000,4444.3887
14000,15802.732
55000,56264.984
7000,13961.671
14900,9403.111
5900,6625.1714
300000,126720.91
9200,9354.735
7500,7611.2715
5000,4688.959
3200,7617.332
6000,5017.288
7000,6146.6
18000,19930.738
479000,409468.94
5000,1281.4711
158000,153578.25
8000,6606.823
5500,7275.962
27900,30325.654
7000,5976.7974
335000,346308.1
100000,99515.625
90000,71296.67
7780,8964.683
9000,8176.6616
6000,8662.312
5900,11781.926
6500,6035.2017
6000,6726.83
7500,6812.8154
7400,7474.0806
2900,946.4073
2200,3939.6846
15000,15535.795
19900,25317.236
27500,25132.846
3200,2222.6008
2900,8848.357
9000,7441.641
3500,4030.9905
3000,5249.0205
9000,15853.498
6500,5636.2993
17000,18640.117
3800,3055.7332
35500,40185.6
80000,78251.45
29900,32022.256
4850,6264.7417
20000,9994.69
7200,11286.775
16900,15102.452
3500,2918.4272
550000,463377.06
15000,37878.93
9900,5238.4336
8000,7920.5137
16500,20430.28
16900,19712.71
16900,17062.93
1395000,1367933.2
14500,15499.991
5000,8878.051
3900,4881.3506
119000,86538.664
16500,17206.885
38800,44389.1
109900,139489.44
30000,27821.955
130000,129917.5
15500,19472.484
25900,33072.58
1650000,1693096.8
4900,7986.4175
3500,3879.7507
480000,445800.84
12000,9810.785
5900,9549.119
180000,243653.02
25000,35135.434
26900,20025.494
8500,6407.8877
3500,12030.66
9900,9792.169
43000,54769.125
39000,32709.06
8500,13223.606
20000,21088.984
2500,2739.8389
7900,12146.682
4900,4462.5186
15000,23656.322
4900,6405.2827
55500,26557.688
24900,23144.764
8200,5331.0244
4500,8571.419
4900,4788.0234
6000,7181.506
15000,11854.779
8800,7566.265
5000,2851.3481
36000,31883.658
735000,666091.75
260000,262094.23
8000,14087.358
7900,7101.2393
5900,4967.944
4900,4913.619
1990000,2893683.5
3500,4223.362
330000,336331.78
18900,17238.564
700000,153585.73
4900,5035.852
7000,7849.0063
13900,10988.48
41000,39386.62
409000,408760.4
2500,5773.13
8000,7539.4155
6900,6893.861
99000,107313.04
9500,10504.16
8000,3654.9185
17000,11667.663
19500,44972.77
6500,4693.7085
12500,10221.952
550000,516878.56
8500,7174.4243
12000,11462.292
3500,10929.29
145000,161501.33
30900,36351.31
31999,18840.041
2900,4769.7495
27000,22916.213
3300,2954.2024
13900,44623.06
560000,565210.56
4800,9637.049
6500,6748.6035
5500,5565.272
275000,278977.97
23900,24351.406
31000,17026.373
3650,27130.848
15000,2922.9673
